nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"CRISTALERIAS ALCOBENDAS","CL JOSE ECHEGARAY (DE) 8 - LOCAL 1 - 6",28100,"PARQUE EMP. CASABLANCA",+34916623830,+34916624031,"taller@cristaleriaalcobendas.com","http://www.cristaleriaalcobendas.com","CARMELO CALLEJAS","","DECORACION, COMPLEMENTOS, CUADROS, CRISTALERIAS Y TRABAJOS EN ESCAYOLA","CRISTALERIA Y TALLER",40.54230509,-3.65435273
"CRISTALERIAS AMEDIDA","CL GRANJA (DE LA) 13 -NAVE 1",28108,"POLIGONO INDUSTRIAL",916636626 / 666562366,+34916639764,"amedida@cristaleria-amedida.com","http://www.cristaleria-amedida.com","JOSE VALIÑA MULAS","","DECORACION, COMPLEMENTOS, CUADROS, CRISTALERIAS Y TRABAJOS EN ESCAYOLA","CRISTALERIA Y ENMARCACIONES",40.52867170,-3.65844918
"CROQUETILLA, S.L.","AV INDUSTRIA (DE LA) 4 PLANTA 1",28108,"POLIGONO INDUSTRIAL",+34914905209,NO DISPONIBLE,"mjmartinez@grupometropolitan.com","http://www.grupometropolitan.com","MARIA JOSE MARTINEZ","","INMOBILIARIAS Y CONSTRUCTORAS","GESTORIA INMOBILIARIA",40.53543008,-3.64232167
"CUADROS SEVILLA","CL VALGRANDE (DE) 14 - NAVE 31 Y 35",28108,"POLIGONO INDUSTRIAL",+34916617718,+34916617718,"cuadros.sevilla@gmail.com","http://www.cuadrossevilla.com","MANUEL SEVILLA","","DECORACION, COMPLEMENTOS, CUADROS, CRISTALERIAS Y TRABAJOS EN ESCAYOLA","OTROS OBJETOS DE MADERA EXCEPTO MUEBLES",40.53867346,-3.64996202
"CUALTIS","AV VALDELAPARRA (DE) 66 LOCAL 1-2",28108,"CASCO URBANO",+34914904108,NO DISPONIBLE,"crodrigueza@cualtis.com","http://www.cualtis.com","CRISTINA RODRIGUEZ ALONSO","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","SERVICIO DE PREVENCION AJENO",40.54121345,-3.66050131
"CURISIT","CL ANABEL SEGURA (DE) 10 - EDIF. FITENI PLANTA 3º",28100,"ARROYO DE LA VEGA",+34911846400,NO DISPONIBLE,"contact@curisit.net","http://www.curisIt.net","FRANCOISE ACEVEDO / JOAQUIN REÑE","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","DESARROLLO DE APLICACIONES INFORMATICAS EN GENERAL DESTACANDO APLICACIONES CIENTIFICAS SECTOR PETROLERAS",40.53420975,-3.62762211
"DAILY","CL ANABEL SEGURA (DE) 11",28100,"ARROYO DE LA VEGA",+34916625039,NO DISPONIBLE,"alcobendas@thedailymeal.es","http://www.dailymeal.es","SALVADOR PALELLA / MERCEDES FIDALGO","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","RESTAURANTE",40.53329719,-3.62708410
"DANFOSS, S.A.","CL CALENDULA (DE LA) 93 - EDIF. I",28109,"MINI-PARC",+34916586688,+34916637370,"fernando.espejo@danfoss.com","http://www.danfoss.com","FERNANDO ESPEJO","","MAYORISTAS","COMERCIO AL POR MAYOR DE INDUSTRIA (EXCEPTO MINERIA Y QUIMICA) Y DE OTROS PRODUCTOS, MAQUINARIA Y MATERIAL NOCOP",40.52774217,-3.64515090
"DANOSA","CL GRANJA (DE LA) 3",28108,"POLIGONO INDUSTRIAL",+34949888210,NO DISPONIBLE,"info@danosa.com","http://www.danosa.com","LUCIA","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","COMERCIALIZACION Y FABRICACION DE PLANCHAS Y TELAS ASFALTICAS, CARTONES, AISLANTES E INSONORIZANTES, PRODUCTOS AUX. DE CONSTRUCION.",40.52662827,-3.65965131
"DANTHERM","CL CALABOZOS (DE LOS) 6",28108,"POLIGONO INDUSTRIAL",+34916614500,+34916614810,"informacion@dantherm.com","http://www.dantherm.com","JESUS ORIA FERNANDEZ","","CLIMATIZACION: CALEFACCION - AIRE ACONDICIONADO Y CHIMENEAS","PROVEEDORES DE SISTEMAS DE CLIMATIZACION, CALEFACCION Y SECADO",40.53046257,-3.65237335
"DANYSOFT INTERNACIONAL","AV INDUSTRIA (DE LA) 4",28108,"POLIGONO INDUSTRIAL",916638683/902123146,+34902123145,"info@danysoft.com","http://www.danysoft.com","JOSE LUIS CASTAÑO ALONSO","","INFORMATICA","SERVICIOS DE CONSULTORIA INFORMATICA Y VENTA DE APLICACIONES",40.53543008,-3.64232167
"DE LA BRENA ASOCIADOS","CR FUENCARRAL (DE) 56 - DESPACHO39",28108,"POLIGONO INDUSTRIAL",916294109 / 690993181,NO DISPONIBLE,"msdelabrena@icam.es","http://www.delabrena.es","Mº SOLEDAD DE LA BRENA MELERO","","ABOGADOS, NOTARIOS Y REGISTRADORES DE LA PROPIEDAD","DESPACHO DE ABOGADOS",40.51888227,-3.65470622
"DEBEER","AV DOCTOR SEVERO OCHOA (DEL) 29",28100,"PARQUE EMP. CASABLANCA",+34914905930,+34914905925,"info@grupobeer.com","http://www.grupobeer.com","CARLOS GUTIERREZ/ MARIA SÁNCHEZ","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","RECUPERACION DE SINIESTROS",40.54146460,-3.65239849
"DECIMAS","CR FUENCARRAL (DE) 44 EDF. 9, PUERTA L18, CAMPUS EMPRESARIALTRIBECA",28108,"POLIGONO INDUSTRIAL",+34913295488,NO DISPONIBLE,"buzon@decimas.es","http://www.decimas.es","NO DISPONIBLE","","ARTICULOS DEPORTIVOS, SUPERVIVENCIA Y AVENTURA","COMERCIO AL POR MENOR DE ARTICULOS DEPORTIVOS EN ESTABLECIMIENTOS ESPECIALIZADOS",40.51888227,-3.65470622
"DECOR","CL SEPULVEDA (DE) 6",28108,"POLIGONO INDUSTRIAL",916620446 / 608407316,NO DISPONIBLE,"decorcb@gmail.com","http://www.decor.com","ELISABET MARTINEZ PASCUAL","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","VENTA E INSTALACION DE PUERTAS Y ARMARIOS",40.52674742,-3.65561731
"DEGRIFE","CL CANTABRIA (DE) 2 PLANTA PRIMERA",28100,"POLIGONO INDUSTRIAL",+34913933300,NO DISPONIBLE,"departamento.personal@ogoza.com","NO DISPONIBLE","ALFREDO ALAMEDA","","MAYORISTAS","MAYORISTAS",
"DEJAVUBRANDS","CL REYES CATOLICOS (DE LOS) 6 NAVE 111",28108,"POLIGONO INDUSTRIAL",+34644390528,NO DISPONIBLE,"josemaria@dejavubrands.com","http://www.dejavubrands.com","MARCO MATHE","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING OLFATIVO (AROMATIZAR ESPACIOS)",40.53652585,-3.65212849
"DEKRA SERVICES","CL CALABOZOS (DE LOS) 12",28108,"POLIGONO INDUSTRIAL",914059360/685448929,NO DISPONIBLE,"cristina.alvaro@dekra.com/carlos.perez@dekra.com","http://www.dekra.es","CARLOS PEREZ/CRISTINA ALVARO","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA, GESTION, MARKETING ORIENTADO A LA AUTOMOCION",40.52984501,-3.65267583
"DEOBAN SYSTEMS, S.L","CL RAMON Y CAJAL (DE) 5 -  OFICINA 15",28100,"CENTRO DE EMPRESAS",+34649980915,NO DISPONIBLE,"jrbachiller@deoban.com","http://www.deoban.com","JOSE RAMON BACHILLER","","INFORMATICA","CONSULTARIA INFORMATICA Y DESARROLLO SOFTWARE",40.54272865,-3.65266376
"DESPACHOWEB","CR FUENCARRAL (DE) 44 -CAMPUS EMPRESARIAL TRIBECA",28108,"POLIGONO INDUSTRIAL",+34911126762,NO DISPONIBLE,"hola@despachoweb.es","http://www.despachoweb.es","DAVID ESPINAR","","INFORMATICA","SERVICIOS INFORMATICOS, APLICACIONES Y PAGINAS WEB",40.51888227,-3.65470622
"DEUTSCHE BANK","AV BRUSELAS (DE) 5",28108,"ARROYO DE LA VEGA",+34914904750,NO DISPONIBLE,"ag0111@db.com","http://www.deutsche-bank.es","NO DISPONIBLE","","SERVICIOS FINANCIEROS, CAJAS DE AHORRO Y BANCA","ENTIDAD BANCARIA",40.53067721,-3.63274744
"DEVELOPMENT SYSTEMS","CL ANABEL SEGURA (DE) 11 -ED B",28100,"ARROYO DE LA VEGA",+34916500385,NO DISPONIBLE,"afuentes@developmentsystems.es","NO DISPONIBLE","MARIA TERESA FUENTES FERNANDEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","Otras actividades de consultoría de gestión empresarial",40.53329719,-3.62708410
"DGQ MADADI","AV INDUSTRIA (DE LA) 13 - 1ª PLANTA, Nº 8",28108,"POLIGONO INDUSTRIAL",+34916613865,+34916578034,"abravo@grupodgq.com","http://www.grupodgq.com","DAVID GARCIA - QUIROS GARCIA","","SERVICIOS FINANCIEROS, CAJAS DE AHORRO Y BANCA","SERVICIOS FINANCIEROS Y CONTABLES",40.53516074,-3.64723116
"DIASORIN IBERIA","AV VEGA (DE LA) 1 - EDIFICIO 2 PLANTA 2ª",28108,"ARROYO DE LA VEGA",+34916623321,+34916624286,"marketing.spain@diasorin.it","http://www.diasorin.com","LUIS VARELA","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","LABORATORIO",40.52433701,-3.63873734
"DICOMAT WAGO","AV INDUSTRIA (DE LA) 36",28108,"POLIGONO INDUSTRIAL",916621362/902999872,+34916610089,"info@dicomat-asetyc.com","http://www.dicomat.com","ALVARO MALLOL","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISTRIBUCION MATERIAL ELECTRICO Y ELECTRONICO",40.53401929,-3.65310741
"DIGI","CL FRANCISCA DELGADO (DE) 11 -1ª PLANTA",28108,"ARROYO DE LA VEGA",916229867/642242000,+34916621756,"administracion@digimobil.es","http://www.digimobil.es","MARIA CONDE HERREROS","","TELEFONIA, TELEFONIA MOVIL","SERVICIOS DE TELEFONIA MOVIL Y FIBRA",40.53322371,-3.63048990
"DIGITAL AGRUPEM","AV INDUSTRIA (DE LA) 6 NAVE 28",28108,"POLIGONO INDUSTRIAL",+34914901420,NO DISPONIBLE,"digital@agrupem.com","NO DISPONIBLE","MANUEL NAVARRO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS Y MTO INFORMATICO",40.53525212,-3.64306522
"DILAFE","AV INDUSTRIA (DE LA) 37",28108,"POLIGONO INDUSTRIAL",+34620845759,NO DISPONIBLE,"dilafehosteleria@gmail.com","NO DISPONIBLE","JULIO CESAR DIAZ TIBURCIO","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","BAR RESTAURANTE",40.53389907,-3.65273873
"DIMASA","CL SEPULVEDA (DE) 6 - NAVE 6 - 8",28108,"POLIGONO INDUSTRIAL",+34916572535,+34916616082,"general@dima-sa.com","http://www.dima-sa.es","ANDRES ALVAREZ","","MAYORISTAS","IMPORTACION Y VENTA DE MAQUINARIA DE ALIMENTACION DE HOSTELERIA",40.52645386,-3.65599502
"DIMEL CASTILLA","CL VALGRANDE (DE) 25 -ACCESO D",28108,"POLIGONO INDUSTRIAL",+34916572671,NO DISPONIBLE,"dimel.alcobendas@sonepar.es","http://www.dimel.es","JOSE CARLOS SIENRRA","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISTRIBUCION DE MATERIAL ELECTRICO",40.53847969,-3.65313004
"DIMENSION JENDRIX","CL GRANJA (DE LA) 60 -NAVE",28108,"POLIGONO INDUSTRIAL",914905372  /  696451456,NO DISPONIBLE,"dimensionjendrix@gmail.com","http://www.ensayosjendrix.es","JAVIER CASADO TABOADA","","DISCOGRAFIA E INSTRUMENTOS MUSICALES. SALAS DE ENSAYO Y AUDICION","LOCALES DE ENSAYO MUSICALES Y ESCUELA MUSICAL",40.53182102,-3.65637777
"DINSA WWD","AV INDUSTRIA (DE LA) 4 - EDIFICIO 2, PORTAL 2, BAJO IZQ",28108,"POLIGONO INDUSTRIAL",+34914903667,+34916629521,"gestion@dinsawwd.com","http://www.dinsawwd.com","EVA DE LA FUENTE","","MAYORISTAS","COMERCIO AL POR MAYOR DE BEBIDAS ESPIRITUOSAS",40.53543008,-3.64232167
"DISERMODA","CL ARAGONESES (DE LOS) 10",28108,"POLIGONO INDUSTRIAL",+34913933300,NO DISPONIBLE,"pedro.sanchez@disermoda.es","http://www.ogoza.com","PEDRO SANCHEZ","","LOGISTICA Y ALMACENAJE","LOGISTICA TEXTIL",40.52221963,-3.66345800
"DISOP","AV VALDELAPARRA (DE) 31 - A",28108,"POLIGONO INDUSTRIAL",+34916612244,+34916614255,"contact@disop.com","http://www.disop.es","CRISTINA MENDOZA","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FABRICACION DE LIQUIDOS PARA LENTES DE CONTACTO",40.53875250,-3.64861288
"DISTA","AV INDUSTRIA (DE LA) 30",28108,"POLIGONO INDUSTRIAL",+34916635000,+34916635184,"santander_jorge@lilly.com","http://www.lilly.es","ALEJANDRO DE SIMON","","MAYORISTAS","COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS",40.53425345,-3.65158382
"DISTRIBUIDORA JARDIN Y DEPORTE","CL VALGRANDE (DE) 23 - NAVE J",28108,"POLIGONO INDUSTRIAL",+34916612227,+34916615164,"info@djd.es","http://www.djd.es","FRANCISCO CRUZ","","ARTICULOS DEPORTIVOS, SUPERVIVENCIA Y AVENTURA","COMPRA Y VENTA DE ARTICULOS DEPORTIVOS",40.53797722,-3.65221937
"DK CONSTRUCCIONES","CL GLORIA FUERTES (DE) 21",28100,"CASCO URBANO",+34609256458,NO DISPONIBLE,"dkconstrucciones1977@gmail.com","NO DISPONIBLE","KHURRAM","","INMOBILIARIAS Y CONSTRUCTORAS","CONSTRUCCION",40.55468115,-3.65147754
"DOCALIA","AV PEÑALARA 35 C/V C/DELA PEDRIZA",28108,"POLIGONO INDUSTRIAL",+34916574010,+34918070106,"s_arroyo_rsi@cajarural.com","http://www.docalia.com","CARLOS CERVERO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","CENTRO DE PROTECCION DE DATOS Y TRATAMIENTOS DE DOCUMENTOS BANCARIOS, IMPRENTA,",40.53325003,-3.66267316
"DOCTORE AUTO","AV INDUSTRIA (DE LA) 34",28108,"POLIGONO INDUSTRIAL",910117179/656359837,NO DISPONIBLE,"doctoreauto@gmail.com","http://www.doctoreauto.com","FERNANDO SANTAELLA GARCIA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER MECANICO DE AUTOMOVILES DE ELECTRICIDAD",40.53410498,-3.65254259
"DOMICILIA GRUPO NORTE","CL JOSE ECHEGARAY (DE) 4 Esq. Avda. Doctor Severo Ochoa, 42, EDF. B-6",28100,"PARQUE EMP. CASABLANCA",916574087 / 600501133,NO DISPONIBLE,"recepcion.alcobendas@grupo-norte.es","http://www.grupo-norte.es","ALBA ROMAN GASCON","","SERVICIOS A LA COMUNIDAD: RESIDENCIAS DE ANCIANOS, AYUDA A LA TERCERA EDAD","SERVICIOS SOCIALES",40.54190758,-3.65466022
"DOMINION CENTRO DE CONTROL","CL ARAGONESES (DE LOS) 7 -POSTERIOR",28108,"POLIGONO INDUSTRIAL",+34639205631,NO DISPONIBLE,"josemaria.herrero@dominion.es","http://www.dominion.es","JOSE MARIA HERRERO","","CODIGO PARA REGISTROS EN BLANCO","TELECOMUNICACIONES",40.52367889,-3.66045313
"DOMPAL","CL REYES CATOLICOS (DE LOS) 10",28108,"POLIGONO INDUSTRIAL",+34916620994,+34916620907,"domingodelpalacio@dompal.es","http://www.dompal.es","JUAN CARLOS TEJERO DE PABLOS","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","DISTRIBUCION DE PRODUCTOS DE ALIMENTACION Y GOURMET",40.53745534,-3.65448928
"DPS PROJECT MANAGEMENT","CL QUEJIGO (DEL) 60",28100,"CASCO URBANO",+34629807916,+34916615006,"dps@dpspm.com","http://www.dpspm.com","JAVIER POOLE DERQUI","","INMOBILIARIAS Y CONSTRUCTORAS","PROJECT MANAGEMENT, GESTION DE PROYECTOS DE EDIFICACION,URBANIZACION Y DIRECCION, PLANIFICACION DE CONTROL DE COSTES Y PLAZOS",40.52607677,-3.63272019
"DRAKHAR STUDIO, S.L.","CR FUENCARRAL (DE) 44",28108,"POLIGONO INDUSTRIAL",+34916548497,NO DISPONIBLE,"info@drakharstudio.com","http://www.drakharstudio.com","LUIS TORRES","","INFORMATICA","VIDEOJUEGOS",40.51888227,-3.65470622
"DREAMSIGN AGENCIA DIGITAL","CL RAMON Y CAJAL (DE) 5",28100,"CENTRO DE EMPRESAS",+34638008481,NO DISPONIBLE,"agencia@dreamsign.es","http://dreamsign.es","IÑAKI EGURROLA CASTRO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING DIGITAL CON MATICES",40.54250148,-3.65225970
"DREAMSITE","AV INDUSTRIA (DE LA) 4 EDF. 0, LOCAL C",28108,"POLIGONO INDUSTRIAL",+34912290080,NO DISPONIBLE,"info@dreamsite.es","http://www.dreamsite.es","MIGUEL ANGEL ROMANILLOS","","INFORMATICA","SERVICIOS INFORMATICOS",40.53543008,-3.64232167
"DRINELA SUPPORT","CL REYES CATOLICOS (DE LOS) 6 NAVE 403",28108,"POLIGONO INDUSTRIAL",695589035 / 916618001,NO DISPONIBLE,"mfuente@drinela.es","http://www.drinela.es","MIGUEL DE LA FUENTE","","INFORMATICA","ASESORAMIENTO, SOPORTE Y MANTENIMIENTO EN SISTEMAS INFORMATICOS, REDES Y COMUNICACIONES",40.53652585,-3.65212849
"DS SMITH","CR FUENCARRAL (DE) 98",28108,"POLIGONO INDUSTRIAL",+34914902160,+34979761413,"alcobendas.recepcion@dssmith.com","http://www.dssmith.com","RUBEN RODRIGUEZ","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","FABRICACION Y COMERCIALIZACION  DE PAPEL Y CARTON, EMBALAJE, RECICLAJE, EXPLOTACION DE FINCAS FORESTALES Y GENERACION DE ENERGIA ELECTRICA",40.51888227,-3.65470622
"DUPESAN","CL REYES CATOLICOS (DE LOS) 2",28108,"POLIGONO INDUSTRIAL",+34916629212,NO DISPONIBLE,"contacto@dupesan2005.es","http://www.dupesan.es","JUAN CARLOS RODRIGUEZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER REPARACION VEHICULOS",40.53675886,-3.65032735
"DYNAMIC BUSINESS SOLUTIONS","AV DOCTOR SEVERO OCHOA (DEL) 39 LOCAL I",28100,"PARQUE EMP. CASABLANCA",+34916613977,NO DISPONIBLE,"s.martin@dbsconcept.es","NO DISPONIBLE","SANTIAGO MARTIN","","PERFUMERIAS, DROGUERIAS, ARTICULOS DE PELUQUERIA Y BELLEZA","DISTRIBUCION DE PRODUCTOS DE PELUQUERIA Y COSMETICA",40.54136708,-3.65367784
"E.I. SUS PEQUEÑOS PASOS-LA MORALEJA","AV BRUSELAS (DE) 5 -BAJO-ENTRADA CALLE SALVIA",28108,"ARROYO DE LA VEGA",+34913882377,NO DISPONIBLE,"info@suspequenospasos.es","http://www.suspequenospasos.es","JOANA GOMARIZ","","ESCUELAS INFANTILES, GUARDERIAS, COLEGIOS","ESCUELA INFANTIL",40.53067721,-3.63274744
"E.S. SHELL VALDELAPARRA","AV VALDELAPARRA (DE) 3",28100,"POLIGONO INDUSTRIAL",+34916619962,NO DISPONIBLE,"es.valdelaparra@disagrupo.es","http://www.shell.es","EMILIO","","ESTACIONES DE SERVICIO Y EMPRESAS AUXILIARES","GASOLINERA",40.53737784,-3.64234265
"EASYVISTA","AV INDUSTRIA (DE LA) 4 - EDIFICIO 3,  2º B",28108,"POLIGONO INDUSTRIAL",+34916573926,NO DISPONIBLE,"info@easyvista.com","http://www.easyvista.com","BARTOLOME MUÑOZ","","INFORMATICA","DESARROLLO Y COMERCIALIZACIÓN SOFWARE",40.53543008,-3.64232167
"EDACAR AUTOMOCION","CL VALGRANDE (DE) 20 - NAVE 6",28108,"POLIGONO INDUSTRIAL",+34916613161,+34916626575,"info@edacar.es","http://www.edacar.es","EDUARDO GOMEZ VILA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","MECANICA DEL AUTOMOVIL",40.53837705,-3.65201385
"EDITORIAL LIBSA","CL SAN RAFAEL (DE) 4",28108,"POLIGONO INDUSTRIAL",+34916572580,+34916572583,"dcaramazana@libsa.es","http://www.libsa.es","DANIEL CARAMAZANA","","EDITORIALES","EDITORIAL LIBROS",40.52438163,-3.65869603
"EDUQA","CL CALENDULA (DE LA) 95 2",28109,"MINI-PARC",916250420 / 913029626,NO DISPONIBLE,"lamoraleja@eduqa.es","http://www.escuelainfantileduqa.es","RAQUEL SANZ GONZALEZ","","ESCUELAS INFANTILES, GUARDERIAS, COLEGIOS","CENTRO DE EDUCACION INFANTIL",40.52792964,-3.64446628
"EET EUROPARTS","CL ARAGONESES (DE LOS) 15",28108,"POLIGONO INDUSTRIAL",+34902902377,NO DISPONIBLE,"som@eet.es","http://www.eet.es","SONIA MARCOS","","MAYORISTAS","COMERCIO AL POR MAYOR DE PIEZAS DE INFORMATICA",40.52282877,-3.66155286
"EFANSA","CL SEPULVEDA (DE) 23",28108,"POLIGONO INDUSTRIAL",+34914841790,+34916625303,"felixfuente@efansa.es","http://www.efansa.es","FELIX DE LA FUENTE","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","FABRICANTE DE MATERIAL ELECTRICO Y  SISTEMAS DE CONTROL Y AUTOMATIZACION",40.52881188,-3.65415255
"EL ESTUDIANTE","CR BARAJAS (DE) -M 12 - SALIDA 9, KM. 4",28100,"CASCO URBANO",916531673 / 677212074,NO DISPONIBLE,"gretell@clubelestudiante.com","http://www.clubelestudiante.com","SANTIAGO VICENTE IZQUIERDO","","GIMNASIOS, DANZA Y OTRAS INSTALACIONES DEPORTIVAS","ARRENDAMIENTO DE PISTAS DEPORTIVAS Y DE PADDLE, TENIS Y GOLF. RESTAURANTE",40.53447055,-3.62019500
"EL GALPON DE JOSE LUIS","CL FRANCISCO GERVAS (DE) 16",28108,"POLIGONO INDUSTRIAL",914844305/00 administración,NO DISPONIBLE,"atencion.cliente@joseluis.es","http://www.joseluis.es","JOSE LUIS RUIZ","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","RESTAURANTE-BAR",40.53322358,-3.65198469
"EL PEZ ROJO","PS CHOPERA (DE LA) 102",28100,"CASCO URBANO",+34657063538,NO DISPONIBLE,"javier@elpezrojo.es","http://https://elpezrojo.es","JAVIER RENAU LOPEZ","","INFORMATICA","PROGRAMADOR WORD PRESS. PAGINAS WEB",40.54488186,-3.64599394
"ELANCO SPAIN","AV ESPAÑA (DE) 30",28100,"POLIGONO INDUSTRIAL",+34916635000,NO DISPONIBLE,"es_recursoshumanos@lilly.com","http://www.lilly.com","ABEL PEREZ","","MAYORISTAS","FCON. Y VTA. MEDICAMENTOS DE USO VETERINARIO",40.54642397,-3.64171512
"ELDISA","AV VALDELAPARRA (DE) 33",28100,"POLIGONO INDUSTRIAL",+34916611534,NO DISPONIBLE,"jaguado@eldisa.es","http://www.eldisa.es","IÑIGO AGUADO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISEÑO ELECTRONICO",40.53903296,-3.64853432
"ELECTRICIDAD DEL AUTOMOVIL JUAN","CL VALGRANDE (DE) 27",28108,"POLIGONO INDUSTRIAL",+34696848840,NO DISPONIBLE,"electricidaddelautomoviljuan@gmail.com","NO DISPONIBLE","JUAN FCO CRESPO","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","REPARACION AUTOMOVILES ELECTRICIDAD, MAQUINARIA DE OBRAS PUBLICAS (CAMIONES, MAQUINAS EXCAVADORAS)",40.53846280,-3.65428279
"ELECTRONICA OLFER","AV INDUSTRIA (DE LA) 6 - NAVES 20 Y 21",28108,"POLIGONO INDUSTRIAL",+34914840850,+34914840851,"emohedano@olfer.com","http://www.olfer.com","EUGENIO MOHEDANO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","VENTA DE MATERIAL ELECTRÓNICO",40.53525212,-3.64306522
"ELECTRONICA SUIZA","AV INDUSTRIA (DE LA) 4 -EDF. 1,  ESC.2 2ºC",28108,"POLIGONO INDUSTRIAL",+34912686631,NO DISPONIBLE,"elsuiz@elsu.com","http://www.elsu.com","RAFAEL MARTINEZ DE VELASCO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","ACCESORIOS PARA CIRCUITOS IMPRESOS",40.53543008,-3.64232167
"ELSAN GLOBAL POST","AV INDUSTRIA (DE LA) 6 - LOCAL",28108,"POLIGONO INDUSTRIAL",+34916625984,NO DISPONIBLE,"unipost_alcobendas@hotmail.com","http://www.globalpost.com","RICARDO SANCHEZ","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","CORRESPONDENCIA",40.53525212,-3.64306522
"EMBAPALET 2010","CL VALGRANDE (DE) 18 - B",28108,"POLIGONO INDUSTRIAL",916611263/629 22 99 38,+34914902199,"compraventa@lospalets.com","http://www.lospalets.com","AMAR HAMAYE","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","ALMACÉN DE MADERA",40.53905172,-3.65110634
"EMELAR ARTES GRÁFICAS","CR FUENCARRAL (DE) 56 3º PLANTA, OFICINA 83",28108,"POLIGONO INDUSTRIAL",616543647 / 916294122,NO DISPONIBLE,"jose@emelar.es","http://www.emelar.es","JOSE MARTIN","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS",40.51888227,-3.65470622
"EMERSON PROCESS MANAGEMENT","CL FRANCISCO GERVAS (DE) 1 EDF. TRIAS",28108,"POLIGONO INDUSTRIAL",+34913586000,+34913589145,"info.es@emerson.com","http://www.emersonprocess.com","CATIA SEGADO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","EQUIPOS Y TECNOLOGIAS DE AUTOMATIZACION DE PROCESOS. INSTRUMENTOS DE MEDIDA ANALITICA. EQUIPOS DE CONTROL FINAL. SISTEMAS Y SOFTWARE",40.53042958,-3.65080103
"EMOBILITY ADVISOR","CL MARQUES DE LA VALDAVIA (D 131 - ESC. DCHA. 2º B",28100,"CASCO URBANO",+34630783620,NO DISPONIBLE,"miguel.berzosa@emobilityadvisor.com","http://www.emobilityadvisor.com","MIGUEL BERZOSA MILLA","","INFORMATICA","INSTALACIONES ELECTRICAS Y COMERCIO ELECTRONICO",40.54712339,-3.65766289
"ENCUADERNACION TEMA","AV INDUSTRIA (DE LA) 48 - NAVE INTERIOR",28108,"POLIGONO INDUSTRIAL",+34916619062,+34916621474,"encuadernaciontema@hotmail.com","http://www.encuadernaciontema.net","JOSE FERNANDEZ ALVAREZ","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ENCUADERNACION Y MANIPULADOS DE ARTES GRAFICAS",40.53384870,-3.65561982
